category_id,branch,co_name,address1,address2,address3,city,pin_code,phone,fax,email,website,contact,keywords
"Transporters, Transport Agents",NCR,CAPTAIN OFFSET PRINTERS,"B-18, SECTOR 58,",,,NOIDA,,911202588305/2585806/2583880,911202490834,captainoffset@hotmail.com,,Mr. Vishal  Rakesh,"Transporters, Transport Agents"
"Transporters, Transport Agents",,CRYSTAL ROADWAYS,"121, CENTRAL AVENUE,",,,KOLKATA,700073,913322351768,913322153770,crystalcal@vsnl.com,,Mr. Naresh  Agarwal,"Transporters, Transport Agents"
"Transporters, Transport Agents",,DELHI KHALRA EXPRESS TANSPORT CO.,"466, ROSHNARA ROAD,",,,DELHI,110007,911123827118,911123976792,sunnyhbf@yahoo.com,,MR. CHARANJEET  SINGH,"FLAT OWNER, TRANSPORT CONTRACTER, TRANSPORT AGENT"
"Transporters, Transport Agents",,DOOARS TRANPORT LTD.,"21/2A, A.M. ROAD, KALASIPALAYAM NEW EXTN.,",,,BANGALORE,560002,918026708622/22272461,918022225658,,,Mr. Mittal  ,TRANSPORT
"Transporters, Transport Agents",,DOOARS TRANSPORT LIMITED,"3, KHANDELWAL MARKET, 
S.C. ROAD,",,,JAIPUR,302001,911412368497/5108497,911412214812,,,Mr. Ramesh  Sharma,"TRANSPORTATION, PAKERS & MOVERS"
"Transporters, Transport Agents",,ELLENBARRIE INDUSTRIAL GASES LTD.,"3-A, RIPON ST., 2nd floor,",,,KOLKATA,700016,913322491922,913322493396,ellenbarrie@vsnl.com,http://www.ellenbarrie.com,"Mr. Padam  Agarwala,    ",transportation of Liquid Oxygen/Nitrogen/Argon
"Transporters, Transport Agents",,KALI TRANSPORT CORPN.,"33/1, N.S. ROAD, 8TH FLOOR, ",,,KOLKATA,700001,913322211022/22213221/22210259,913322208159,kalitrans@hotmail.com,,Mr. S K Gupta,TRANSPORT AGENTS
"Transporters, Transport Agents",,EXFIN SHIPPING (I) LTD.,"15, MORVI HOUSE, 28/30, GOA SHEET, BALLARD ESTATE,",,,MUMBAI,400038,912222693947,912222693950,"info@exfinshipping.com, t_hule@rediffmail.com, shilpa@exfinshipping.com",http://www.exfinshipping.com,"subhash a sharma, MR. ANAND D. SHIRSAT   ",SHIPPING AGENTS
"Transporters, Transport Agents",DELHI,BALAJI FREIGHT CARRIERS PVT. LTD.,"BG-354, Sanjay Gandhi Transport Nagar, ",,,DELHI,110042,911127831993/27832483/27833252,911127833252,balaji.goel@sify.com,http://www.balajifreightcarriers.com,Mr. Kailash  Goel,"Service Provider  of Export / Import, Consignment Delivery 
in 55 Hours, Express Service - 40 Hours. Transporters, Transport Agents"
"Transporters, Transport Agents",HYDERABAD,UNIQUE SHIPPING & LOGISTICS,"401, 4th Floor, Kishan Residency, Road Opp. Saptagiri Tower, Begumpet, 
",,,HYDERABAD,500016,9140 66324787/66318458,914066315459,uslogisticsgr@yahoo.co.uk,,Mr. G. Rama Rao,"Transporters, Transport Agents"
"Transporters, Transport Agents",,SIDDHIVINAYAK CORPORATION,"G-5, Vraj Vihar C.H.S Ltd., Sector-16, Airoli,",,,NAVI MUMBAI,400708,912227602786,912227641915,siddhivinayak_corp@yahoo.co.in,,Mr. Tarun Vinod Goyal,TRANSPORTATION SERVICES
"Transporters, Transport Agents",,SYAL AUTO CARRIERS (P) LTD.,"45, APSARA CINEMA COMPLEX, U.P. BORDER, P.O. CHIKAMBERPUR,",,,GHAZIABAD,201301,,,,,Mr. Ashwani  Kumar,"TRANSPORT AGENT, TRANSPORT CONTRACTOR FLEET OWNER"
"Transporters, Transport Agents",,SARAS SERVICES,"D/53, GREATER KAILASH ENCLAVE-II,",,,NEW DELHI,110048,911126227887/26234445,911126446397,,,MR. SANTOSH K JASRASARIA,TRAVEL AGENCY
"Transporters, Transport Agents",,TRANSPORT ORGANISERS,"21-A, SAGAR DUTTA LANE, (1ST FLOOR),",,,KOLKATA,700073,913322368251/22373442/22256929,913322367599,transport@vsnl.com,,Mr. Sujit  Das,TRANSPORTERS
"Transporters, Transport Agents",,S. ALBERT & CO. PVT. LTD.,"13/1, Whannels Road, Egmore,",,,CHENNAI,600008,914428194648/28193560/ 91-461-2321276/2321926,914428193920/ 91-461-2325826,albertco@airtelbroadband.in,,Mr. S.  PALANISAMY,"CUSTOMS HOUSE AGENTS, STEVEDORES, CLEARING AND FORWARDING AGENTS, STEAMER AGENTS, TRANSPORT CONTRACOTRS, WAREHOUSEING, EXPORTERS & IMPORTERS, SHIPPING"
"Transporters, Transport Agents",,RIGHT WAYS,"BHARDWAJ VATIKA, CHOMU PULIA, AMBABARI,",,,JAIPUR,302012,911412335270/2336655,911412337775,rightways_1@mailcity.com,,Mr. Navneet  Garg,"PACKERS & MOVERS, TRANSPORTER"
"Transporters, Transport Agents",,SHREE MATANGI TRANSPORT PVT. LTD.,"4, SHIVKRUPA APARTMENT, KARANI LANE, OPP. CORPORATION BANK, GHATKOPAR (WEST),",,,MUMBAI,400086,912225148771/25164969,912225147695,matangi@vsnl.net,,Mr. Chetan A Shah,TRANSPORT SERVICE
"Transporters, Transport Agents",DELHI,SINGH TRANSPORT GOODS CARRIER,"PLOT NO. 14, GROUND FLOOR, HASANPUR, I.P. EXTN., ",,,DELHI,110092,911122241159/22231087,,stgc_singh_transportgoodscarrier@yahoo.com,,MR. CHANDRASHEKHAR  ,"full truck, canter, tata-407/709, all type vehicle for all over india. Transporters, Transport Agents"
"Transporters, Transport Agents",MUMBAI,RUNICHA FREIGHT FORWARDERS,"15 VAJU KOTAK MARG, CONTRACTOR BUILDING, RO. NO-20, FORT,",,,MUMBAI,400001,912222650053/54,912222616235,runicha@hathway.com,http://www.runicha.com,Mr. Tushar  ,"Transporters, Transport Agents"
"Transporters, Transport Agents",,SHRI JHAI NARAIN TRADES,"SJNT BUILDINGS, IST MAIN ROAD-POST BOX NO 639, W/ISLAND,",,,KOCHI,682003,914842669462/2667195,914842667464,"jainarayana@eth.net, sjnt@giasmd01.vsnl.net.in",,"mr. M. M. , Mr. Vinod V Pai","FREIGHT FORWARDERS, C&F AGENT, TRANSPORTING"
"Transporters, Transport Agents",,SIYRAM CITY CABS LTD.,"SIYRAM STREET, DURGAPURA,",,,JAIPUR,302018,911412722227,911412722227,"siyaram@sancharnet.in, siyaram@siyaramexports.com",http://www.siyaramexports.com,"Mr. GEORGE  , Mr. Arun  Bagga",TAXI SERVICE
"Transporters, Transport Agents",DELHI,P. V. CARGO CARRIERS PVT. LTD.,"515, ANSAL CHAMBERS-II, 6, BHIKAJI CAMA PLACE,",,,NEW DELHI,110066,911141658723/26188823/26170190/91/26716052,911126170188 ,"venu@pvgroupindia.com, praveenvts@yahoo.com, ccs@pvgroupindia.com",http://www.pvcargo.com,"Mr. VENU  GOPAL, Ms. Richa  Sharma, Mr. Praveen  Vats","Transporters, Transport Agents"
"Transporters, Transport Agents",,TRANSPORT CORPORATION LTD.,"PLOT NO-456, JYATI SHILP MILL COMPOUND, RD. NO-3,",,,UDHNA,,912612270140,,xaro@xpsworld.com,http://www.xpscargo.com,MR. AJAY  SINGH,TRANSPORT
"Transporters, Transport Agents",,TRANSPORT CORPORTION OF INDIA LTD.,"TRANSPORT HOUSE, G-4, TRANSPORT NAGAR,",,,JAIPUR,302003,911412640665,911412640349,jpr@tcil.com,http://www.tcil.com,MR. Sudhakar  ,TRANSPORT RELATED SERVICES
"Transporters, Transport Agents",,SAJJAN KUMAR & BROS. PVT. LTD.,"CENTRE POINT ROOM -213, 21, OLD COURT HOUSE STREET,",,,KOLKATA,700001,913322139421/9422,913322317017,sbajoria@cal.vsnl.net.in,,MR. SAJJAN KUMAR BAJORIA,"CLEARING & FORWARDING AGENTS, (SEA & AIR)"
"Transporters, Transport Agents",DELHI,SATKAR LOGISTICS PVT. LTD.,"C-131, Flatted Factory Complex, Okhla Phase-III,",,,NEW DELHI,110020,911141802480/81/82/41802484/26365423/24,911141802484/26364425,enquiries@satkarlogistics.com,http://www.satkarlogistics.com,Mr. Amanpreet  Singh,"Transporters, Transport Agents"
"Transporters, Transport Agents",,RADHIKA EXPRESS PVT. LTD.,"7, TARACHAND DUTTA STREET, 
1ST FLOOR,",,,KOLKATA,700073,913322702831,913322388652,"radha@cal2.vsnl.net.in, neeraj0921@hotmail.com",,"MR VINEET AGARWAL  , Mr. Vineet  Agarwal",courier
"Transporters, Transport Agents",KOLKATA,SOHOM SHIPPING PVT. LTD.,"23A, NETAJI SUBHAS ROAD, 6TH FLOOR, ROOM NO.-2, ",,,KOLKATA,700001,913322313833/22131821,913322133594,shipping@sohomshipping.com,http://www.sohomshipping.com,MR  Subrata  Hazra,"Transporters, Transport Agents"
"Transporters, Transport Agents",,SRI R. R. TRANSPORT,"310, NIRMAL INDL. ESTATE ROAD NO.29, SION (E),",,,MUMBAI,400022,912224014838/30916612,912230916612/31020060,suraksha_assurance@indiatimes.com,,Mr. S R Patrachari,"PACKING, TRANSPORTATION, WAREHOUSING, courier, insurance"
Travel Agents & Tour Operators,,NOMAD EXCURSIONS PRIVATE LIMITED,"37, Regal Building, Parliament street,",,,NEW DELHI,110001,,911123345974,,http://www.nomadexcursion.com,Mr. Prem  Syal,"TRAVEL AGENTS, TICKETING HOTEL (DOMESTIC & INTERNATIONAL) TOUR OPERATOR"
Travel Agents & Tour Operators,,EURO TOURS AND TRAVELS,"1ST FLOOR, DD JUNCTION BLDG. OPP. ALAPPATT ARCADE,",,,KOCHI,682035,91484263435,914842363485,tourwitheuro@hotmail.com,,MR. jaison thakolkaran K,TRAVEL AND TOUR
Travel Agents & Tour Operators,,GLOBE EXPRESS TRAVELS PVT. LTD.,"105, RICHMOND ROAD,",,,BANGALORE,560025,918022273733/22273118/22273172,918022217459,globex@giasbg01.vsnl.net.in,http://www.globexxtravels.com,Mr. Jabbar  ,Travel Agents & Tour Operators
Travel Agents & Tour Operators,,HOLO SOLUTIONS,"147/9, KISHANGARH, VASANT KUNJ,",,,NEW DELHI,110070,911126121264/26893779/26894428,911126893779/26894428,rajivbhatnagar@yahoo.co.in,http://www.sartravelsolution.com,Mr. RAJIV  BHATNAGAR,"TOUR & TRAVEL, CARTER PLANE HIRE, DISASTER MANAGEMENT"
Travel Agents & Tour Operators,,JEEVAN TRANSPORT,"BADRIYA SCHOOL BUILDING,BADRIYA ROAD, BUNDER,",,,MANGALORE,575001,918242420509/2420804/2421548,918242420804,jeevantransport@hotmail.com,,Mr. Vinod J J Vas,"C & F AGENTS, TRANSPORT CONTRACTORS, TRUCK TERMINAL CONTRACTORS, COMMISSION AGENTS"
Travel Agents & Tour Operators,,ARJUN TOURS & TRAVELS PVT. LTD.,"G-13, GOLDEN ARCADE APTT.,
NEXT TO RAMA HOTEL, LAVELLE ROAD B-2,",,,BANGALORE,560001,918022217054,918022217054,arjuntrvl@vsnl.com,,Mr. Ravindran  ,Travel Agents & Tour Operators
Travel Agents & Tour Operators,,MER-IND TRAVELS PVT. LTD.,"PARVATHI PLAZA, 105, RICHMOND ROAD,",,,BANGALORE,560025,918022213030/22213131/22215326/22272867/22272947,918022214743,,,Mr. Biloke  ,Travel Agents & Tour Operators
Travel Agents & Tour Operators,,QAIR TRAVELS PVT. LTD.,"230A, AJC BOSE ROAD, 58, CHITRAKOOT BLDG.,",,,KOLKATA,700020,913322470718/22807777,913322400930,qairtravels@eth.net,,Mr. Ashish  Chatterjee,Travel Agents & Tour Operators
Travel Agents & Tour Operators,DELHI,SHERIF EXPRESS TRAVELS & CARGO (P) LTD.,"K-311, ST. NO.4, OLD RANGPURI ROAD,
MAHIPALPUR EXTENSION,",,,NEW DELHI,110037,911126785858/26786868,911126787197,thomas@sherifexpress.net,http://www.sherifexpress.net,Mr. Shoukath  Sherif,Travel Agents & Tour Operators
Travel Agents & Tour Operators,,SISODIYA GROUP,"35, MAIN MADRAMPURA, AJMER ROAD,",,,JAIPUR,302006,911413276570,,,,MR. Janak Singh Sisodiya,"Event Management, Travelling, Tours, Ticketing, Hotel Booking, All services"
Travel Agents & Tour Operators,,SUMIT TRAVEL & TOURS,"16-B, SHAKESPEARE SARANI,
 
 ",,,KOLKATA,700071,913322823879,913322214951,,,Sunil  Choudhury,Travel Agents & Tour Operators
Travel Agents & Tour Operators,,KULIN KUMAR TOURS AND TRAVELS,"ASHOKA PAVALLION, SAI SERVIES 22, AMBEDKAR ROAD,",,,PUNE,411011,912026052497,912026139720,sales@kulinkumar.com,http://www.kulinkumar.com,Mr. Ketan  Mehta,Travel Agents & Tour Operators
Travel Agents & Tour Operators,,THOMAS COOK (INDIA) LTD.,"PALAL TOWERS, 1ST FLOOR, RIGHT WING , M.G. ROAD, ",,,KOCHI,682016,914842369729/2374205,914842373829,mohan.krishna@in.thomascook.com,http://www.thomascook.co.in,Mr. Mohan Krishna H,"F0REIGNE EXCHANGE, CORPORATE TRAVEL, LEISURE TRAVEL"
Travel Agents & Tour Operators,,HIND MUSAFIR AGENCY PVT. LTD.,"ONLOOKER BULDING, SIR P.M. ROAD, ",,,MUMBAI,400001,912222661544/56334240,912222665033,hma@bom3.vsnl.net.in,http://www.hmatravel.com,MR. MANOHAR  ,TOURS
Travel Agents & Tour Operators,,TRANS CONTINENTS TRAVEL SERVICES,"12, 4TH FLOOR, TARDEO A/C MARKET, TARDEO,",,,MUMBAI,400034,912223512460/9820048259/23681527(r),912223515122,tcontinents@hotmail.com,,Mr. Neel  Bhatia,TRAVEL & TOURS
